Games,Sport,Event,TEST,Gender,Athlete(s),CountryCode,CountryName,Medal,Result,Unit,ResultInSeconds,POPULATION,GDP,,,
2012,Athletics,10000m Men,MEN,MEN,Mo FARAH,GBR,Great Britain,Gold,27:30.4,M:SS:DD,1650.42,60943.912,1358615.226,,,
2012,Athletics,10000m Men,MEN,MEN,Galen RUPP,USA,United States of America,Silver,27:30.9,M:SS:DD,1650.90,303824.646,8944193.284,,,
2012,Athletics,10000m Men,MEN,MEN,Tariku BEKELE,ETH,Ethiopia,Bronze,27:31.4,M:SS:DD,1651.43,83282.565,50477.4961,,,
2012,Athletics,10000m Women,WOMEN,WOMEN,Vivian CHERUIYOT,KEN,Kenya,Bronze,30:30.4,M:SS:DD,1830.44,83282.565,50477.4961,,,
2008,Athletics,10000m Women,WOMEN,WOMEN,Shalane Flanagan,USA,United States of America,Bronze,30:22.22,M:SS:DD,1822.22,127425.722,2780238.83,,,
2004,Athletics,10000m Women,WOMEN,WOMEN,Derartu Tulu,ETH,Ethiopia,Bronze,30:26.42,M:SS:DD,1826.42,82424.609,1577423.484,,,
2000,Athletics,10000m Women,WOMEN,WOMEN,Fernanda Ribeiro,POR,Portugal,Bronze,30:22.88,M:SS:DD,1822.88,282338.631,8019378.039,,,
1996,Athletics,10000m Women,WOMEN,WOMEN,Gete Wami,ETH,Ethiopia,Bronze,31:06.65,M:SS:DD,1866.65,62209.971,36218.8109,,,
1992,Athletics,10000m Women,WOMEN,WOMEN,Lynn Jennings,USA,United States of America,Bronze,31:19.89,M:SS:DD,1879.89,25020.539,26246.63558,,,
2012,Athletics,100m Men,MEN,MEN,Usain BOLT,JAM,Jamaica,Gold,9.63,#:DD,9.63,2801.544,10497.6055,,,
2012,Athletics,100m Men,MEN,MEN,Yohan BLAKE,JAM,Jamaica,Silver,9.75,#:DD,9.75,2801.544,10497.6055,,,
2012,Athletics,100m Men,MEN,MEN,Justin GATLIN,USA,United States of America,Bronze,9.79,#:DD,9.79,303824.646,8944193.284,,,
1988,Athletics,10000m Women,WOMEN,WOMEN,Yelena Zhupiyeva,URS,Russia,Bronze,31:19.82,M:SS:DD,1879.82,245021.414,5512845,,,
2012,Swimming,100m Backstroke Women,WOMEN,WOMEN,Aya TERAKAWA,JPN,Japan,Bronze,58.83,#:DD,58.83,60943.912,1358615.226,,,
