pnum,firm,performance,inv_num,avg_similarity
6417100,AMD,2,"['05736423-1', '04294002-2', '04954459-1']",0
6415975,AMD,1,"['06193134-1', '06028350-1']",0
6400030,AMD,1,"['05468340-3', '05376573-3', '04370405-3', '05625231-1', '04581815-1']",0
6399984,AMD,1,"['03865654-1', '05888898-6', '05624859-2', '05920786-1', '06284600-1', '05470773-2']",0
6399902,AMD,2,"['06231229-1', '06333253-1']",0
6399493,AMD,3,"['05986344-3', '05770482-3', '05442175-1']",0
6399480,AMD,2,"['03933860-1', '05442638-3', '05376573-3', '05736423-1', '05895269-5']",0
6399467,AMD,5,"['06048790-2', '06350696-2']",0
6399452,AMD,8,"['05960322-3', '05073506-1']",0
6399446,AMD,3,"['05855837-2', '05442638-3', '06030901-1', '05376573-3', '05780204-4', '04370405-3', '05624859-2', '06100559-1']",0
6399401,AMD,1,"['04789760-3', '06399401-1']",0
6397326,AMD,2,"['06212565-1', '06223280-1']",0
6415348,AMD,8,"['05881248-1', '06151658-1', '05561384-2', '05850571-3']",0
6397313,AMD,9,"['06125055-2', '04803665-1']",0
6397239,AMD,24,"['06115732-3', '06298367-4', '05918062-2', '05745732-1', '05918062-1']",0
6397238,AMD,6,"['05055999-6', '06026483-3', '05918062-2', '05745732-1', '05918062-1']",0
6397225,AMD,4,"['06349341-1', '06334122-1']",0
6396749,AMD,10,"['06215705-1', '05263000-4']",0
6396296,AMD,71,"['06384618-3', '05108536-3']",0
6396258,AMD,0,"['06388457-3', '06396258-2', '06124559-1']",0
6396108,AMD,83,"['04622576-1', '05212106-2']",0
6396103,AMD,4,"['06225229-1', '06229184-1']",0
6395654,AMD,6,"['05132252-1', '05888898-6', '05624859-2', '06284600-1']",0
6414600,AMD,1,"['06414600-2', '06414600-3', '06414600-1']",0
6396059,AMD,5,"['05037506-2', '05977542-3', '05958744-2']",0
6395644,AMD,3,"['05442638-3', '06030901-1', '05736423-1']",0
6395606,AMD,8,"['06225229-1', '05316969-1', '06008094-2']",0
6395568,AMD,3,"['06046507-1', '06331735-3', '05642311-5', '04040897-1']",0
6395567,AMD,1,"['05985753-1', '05776811-3']",0
6395129,AMD,1,"['06384618-2', '06030282-1']",0
6394481,AMD,4,"['06390157-1', '06371715-3', '06390157-3']",0
6414355,AMD,22,"['05880511-1', '05985726-2', '05895269-5']",0
6395100,AMD,3,"['05679605-1', '06395100-2']",0
6393555,AMD,27,"['05055999-6', '05918062-2', '05668732-4', '05918062-1']",0
6393554,AMD,1,"['06026483-3', '05745732-1', '05918062-1']",0
6393549,AMD,7,"['04731737-1', '04940908-1']",0
6393548,AMD,12,"['05953335-4', '05903918-3', '05991305-1', '05903521-1']",0
6393536,AMD,15,"['05752069-1', '05813035-2']",0
6393546,AMD,6,"['04731737-1', '04755936-3']",0
6393531,AMD,8,"['06046952-2', '05809522-1']",0
6393502,AMD,11,"['04556567-1', '05638798-6']",0
6393021,AMD,32,"['05400322-2', '05027008-1']",0
6392403,AMD,3,"['05818018-3', '06392403-4', '05354413-3', '06216948-2']",0
6392280,AMD,3,"['04622576-1', '05582881-1', '05866473-1']",0
6392251,AMD,1,"['06392251-2', '06392251-1']",0
6392432,AMD,3,"['06392432-2', '06392432-3', '06392432-1']",0
6414335,AMD,1,"['06248600-5', '06403388-5', '06210981-1', '06146014-2', '05083007-2', '06248600-3']",0
6391767,AMD,15,"['06225229-1', '06229184-1', '06069485-1']",0
6391751,AMD,3,"['05819355-1', '06337217-2', '05482881-3', '06391751-2']",0
6391766,AMD,1,"['04954212-1', '05376573-3', '06309955-4', '05985497-5']",0
6391730,AMD,5,"['05210057-3', '06168993-3']",0
6391750,AMD,9,"['05582881-1', '05468339-2']",0
6391664,AMD,17,"['06248600-5', '06210981-1', '06146014-2', '05083007-2', '06248600-3']",0
6413869,AMD,3,"['04992134-2', '06291348-2', '04954459-1']",0
6390314,AMD,0,"['06390157-1', '06371715-3', '06390157-3']",0
6389557,AMD,7,"['04807043-2', '05860025-7', '05533203-3', '05811995-2']",0
6390157,AMD,3,"['06390157-1', '06371715-3', '06390157-3']",0
6389526,AMD,24,"['04809269-1', '05680482-3', '04755936-3', '05224569-1']",0
6389488,AMD,4,"['06285601-1', '05680482-3', '05297272-3']",0
6389512,AMD,4,"['05590352-1', '05490059-1']",0
6388943,AMD,1,"['06388943-2', '06388943-1', '06388943-3']",0
6413857,AMD,5,"['05037506-2', '05855837-2', '05985497-5']",0
6388457,AMD,4,"['06388457-2', '06388457-3', '06388457-4', '06388457-1']",0
6388330,AMD,2,"['06030901-1', '05736423-1', '05970313-2', '05888898-3']",0
6388309,AMD,0,"['06030901-1', '05268202-1', '05625231-1']",0
6388298,AMD,4,"['05296411-2', '05296411-1']",0
6387823,AMD,6,"['05783497-2', '06258681-2']",0
6387825,AMD,4,"['06030901-1', '05268202-1', '05625231-1']",0
6413846,AMD,3,"['06413846-2', '06413846-4', '04578859-1', '05545592-1', '05582881-1', '05934978-2', '05679605-1']",0
6387806,AMD,15,"['05686761-2', '04294002-2']",0
6387786,AMD,1,"['06048790-2', '06350696-2']",0
6387767,AMD,4,"['05686761-2', '06168993-3', '05736423-1', '05582881-1']",0
6387758,AMD,10,"['05985753-1', '06387758-2']",0
