AMD
AFOP
ALTR
AMKR
ANAD
ADI
AMAT
AMCC
ATML
AXTI
BRCM
CCMP
CEVA
CRUS
CREE
CY
DIOD
DSPG
EMAN
EMKR
EXAR
FCS
FNSR
FORM
IDTI
ISSI
INTC
ISIL
IXYS
KOPN
LSCC
LPTH
LLTC
MXIM
MCHP
MU
MSCC
MOSY
MRVC
NVDA
OCLR
OVTI
ON
OSIS
PLAB
PXLW
PMCS
POWI
QUIK
RMBS
SMTC
SIGM
SLAB
SWKS
SUNE
TSRA
TXN
VIAV
XLNX
