firm,receiving_firm,herfindahl,nb_of_patents
AAOI,0.0,0.16666666666666669,28
ADI,13.0,0.1111111111111111,607
AFOP,2.0,0.14285714285714285,42
ALTR,9.0,0.1111111111111111,568
AMAT,29.0,0.1111111111111111,2593
AMCC,2.0,0.1111111111111111,127
AMD,21.0,0.1111111111111111,5483
AMKR,2.0,0.1111111111111111,314
ANAD,1.0,0.125,29
ATML,0.0,0.0,4
ATNY,0.0,0.3333333333333333,10
AXTI,2.0,0.20000000000000004,7
BRCM,35.0,0.1111111111111111,1006
CAVM,0.0,0.3333333333333333,3
CCMP,0.0,0.125,72
CEVA,0.0,0.5,10
CREE,0.0,0.1111111111111111,193
CRUS,7.0,0.1111111111111111,435
CY,15.0,0.1111111111111111,848
DSPG,1.0,0.25,17
EMAN,0.0,0.20000000000000004,19
EMKR,0.0,0.125,44
EXAR,2.0,0.14285714285714285,45
FCS,23.0,0.125,242
FNSR,4.0,0.1111111111111111,188
FORM,4.0,0.14285714285714285,149
FSL,24.0,0.1111111111111111,385
FSLR,0.0,0.20000000000000004,14
IDTI,5.0,0.1111111111111111,194
INTC,70.0,0.1111111111111111,3430
INVN,1.0,0.0,2
IPGP,0.0,0.5,1
IPHI,3.0,0.5,8
ISIL,1.0,0.1111111111111111,103
ISSI,0.0,0.16666666666666669,26
IXYS,0.0,0.5,31
KOPN,0.0,0.1111111111111111,49
LLTC,2.0,0.125,123
LPTH,0.0,0.5,9
LSCC,13.0,0.1111111111111111,189
MCHP,1.0,0.1111111111111111,139
MLNX,0.0,0.0,9
MOSY,0.0,1.0,3
MPWR,1.0,0.3333333333333333,16
MSCC,3.0,0.25,27
MTSI,0.0,0.125,40
MU,49.0,0.1111111111111111,9763
MXIM,6.0,0.1111111111111111,148
NLST,0.0,0.0,4
NPTN,1.0,0.16666666666666669,4
NVDA,8.0,0.1111111111111111,159
NVEC,0.0,0.20000000000000004,14
OSIS,0.0,0.14285714285714285,48
OVTI,0.0,0.16666666666666669,33
PLAB,0.0,0.16666666666666669,21
PMCS,2.0,0.1111111111111111,102
POWI,0.0,0.3333333333333333,104
PXLW,3.0,0.20000000000000004,13
QUIK,3.0,0.14285714285714285,28
RMBS,8.0,0.1111111111111111,288
SIGM,0.0,0.3333333333333333,16
SLAB,21.0,0.1111111111111111,133
SMTC,2.0,0.125,48
SPWR,0.0,0.20000000000000004,19
SWKS,3.0,0.1111111111111111,180
TSRA,3.0,0.14285714285714285,250
TXN,25.0,0.1111111111111111,4769
UCTT,0.0,0.3333333333333333,7
XLNX,10.0,0.1111111111111111,831
